"id","title","authors","published","primary_category","url"
"2602.11221","The Automatic Verification of Image-Text Claims (AVerImaTeC) Shared Task","Rui Cao; Zhenyun Deng; Yulong Chen; Michael Schlichtkrull; Andreas Vlachos","2026-02-11","cs.CL","https://arxiv.org/abs/2602.11221"
"2602.11551","SIGHT: Reinforcement Learning with Self-Evidence and Information-Gain Diverse Branching for Search Agent","Wenlin Zhong; Jinluan Yang; Yiquan Wu; Yi Liu; Jianhang Yao; Kun Kuang","2026-02-12","cs.CL","https://arxiv.org/abs/2602.11551"
"2602.13855","From Fluent to Verifiable: Claim-Level Auditability for Deep Research Agents","Razeen A Rasheed; Somnath Banerjee; Animesh Mukherjee; Rima Hazra","2026-02-15","cs.AI","https://arxiv.org/abs/2602.13855"
"2602.15190","AIC CTU@AVerImaTeC: dual-retriever RAG for image-text fact checking","Herbert Ullrich; Jan Drchal","2026-02-17","cs.CL","https://arxiv.org/abs/2602.15190"
"2603.04751","Evaluating the Search Agent in a Parallel World","Jiawei Chen; Xintian Shen; Lihao Zheng; Lifu Mu; Haoyi Sun; Ning Mao; Hao Ma; Tao Wei; Pan Zhou; Kun Zhan","2026-03-05","cs.AI","https://arxiv.org/abs/2603.04751"
"2603.09130","From Verification to Amplification: Auditing Reverse Image Search as Algorithmic Gatekeeping in Visual Misinformation Fact-checking","Cong Lin; Yifei Chen; Jiangyue Chen; Yingdan Lu; Yilang Peng; Cuihua Shen","2026-03-10","cs.SI","https://arxiv.org/abs/2603.09130"
"2604.17143","SeekerGym: A Benchmark for Reliable Information Seeking","Remy Kim; Minseung Lee; Shuo Li; Osbert Bastani","2026-04-19","cs.LG","https://arxiv.org/abs/2604.17143"
"2604.19264","DR-MMSearchAgent: Deepening Reasoning in Multimodal Search Agents","Shengqin Wang; Wentao Yan; Huichi Zhou; Yihang Chen; Kun Shao; Zhizhong Zhang; Yuan Xie","2026-04-21","cs.CV","https://arxiv.org/abs/2604.19264"
"2604.20486","ProMMSearchAgent: A Generalizable Multimodal Search Agent Trained with Process-Oriented Rewards","Wentao Yan; Shengqin Wang; Huichi Zhou; Yihang Chen; Kun Shao; Yuan Xie; Zhizhong Zhang","2026-04-22","cs.CV","https://arxiv.org/abs/2604.20486"
"2604.24978","Dont Stop Early: Scalable Enterprise Deep Research with Controlled Information Flow and Evidence-Aware Termination","Prafulla Kumar Choubey; Kung-Hsiang Huang; Pranav Narayanan Venkit; Jiaxin Zhang; Vaibhav Vats; Yu Li; Xiangyu Peng; Chien-Sheng Wu","2026-04-28","cs.CL","https://arxiv.org/abs/2604.24978"
"2605.05185","OpenSearch-VL: An Open Recipe for Frontier Multimodal Search Agents","Shuang Chen; Kaituo Feng; Hangting Chen; Wenxuan Huang; Dasen Dai; Quanxin Shou; Yunlong Lin; Xiangyu Yue; Shenghua Gao; Tianyu Pang","2026-05-07","cs.CV","https://arxiv.org/abs/2605.05185"
"2605.06635","Cited but Not Verified: Parsing and Evaluating Source Attribution in LLM Deep Research Agents","Hailey Onweller; Elias Lumer; Austin Huber; Pia Ramchandani; Vamse Kumar Subbiah; Corey Feld","2026-05-08","cs.CL","https://arxiv.org/abs/2605.06635"
"2605.10357","RW-Post: Auditable Evidence-Grounded Multimodal Fact-Checking in the Wild","Danni Xu; Shaojing Fan; Harry Cheng; Mohan Kankanhalli","2026-05-11","cs.MM","https://arxiv.org/abs/2605.10357"
"2605.16217","Argus: Evidence Assembly for Scalable Deep Research Agents","Zhen Zhang; Liangcai Su; Zhuo Chen; Xiang Lin; Haotian Xu; Simon Shaolei Du; Kaiyu Yang; Bo An; Lidong Bing; Xinyu Wang","2026-05-16","cs.CL","https://arxiv.org/abs/2605.16217"
"2605.19196","Time to REFLECT: Can We Trust LLM Judges for Evidence-based Research Agents?","Leyao Wang; Yanan He; Peng Chen; Asaf Yehudai; Yixin Liu; Rex Ying; Michal Shmueli-Scheuer; Arman Cohan","2026-05-19","cs.CL","https://arxiv.org/abs/2605.19196"
"2605.24245","Deep-Research Agents Can Be Poisoned via User-Generated Content","Tingwei Zhang; Harold Triedman; Vitaly Shmatikov","2026-05-23","cs.CR","https://arxiv.org/abs/2605.24245"
"2605.26081","VeriTrace: Evolving Mental Models for Deep Research Agents","Haolang Zhao; Yunbo Long; Lukas Beckenbauer; Alexandra Brintrup","2026-05-26","cs.AI","https://arxiv.org/abs/2605.26081"
"2605.30727","MosaicLeaks:Privacy Risks in Querying-in-the-Open for Deep Research Agents","Alexander Gurung; Spandana Gella; Alexandre Drouin; Issam H. Laradji; Perouz Taslakian; Rafael Pardinas","2026-05-29","cs.CL","https://arxiv.org/abs/2605.30727"
"2606.05241","Search-Time Contamination in Deep Research Agents: Measuring Performance Inflation in Public Benchmark Evaluation","Yongjie Wang; Xinyue Zhang; Kunhong Yao; Zhiwei Zeng; Kaisong Song; Jun Lin; Zhiqi Shen","2026-06-03","cs.CR","https://arxiv.org/abs/2606.05241"
"2606.05784","TAPO: Tool-Aware Policy Optimization via Credit Transfer for Multimodal Search Agents","Chengqi Dong; Chuhuai Yue; Hang He; yandong liu; Fenghe Tang; S Kevin Zhou; Xiaohan Wang; Jiajun Chai; Guojun Yin","2026-06-04","cs.AI","https://arxiv.org/abs/2606.05784"
"2606.15231","Visual-Seeker: Towards Visual-Native Multimodal Agentic Search via Active Visual Reasoning","Zhengbo Zhang; Changtao Miao; Jinbo Su; Zhaowen Zhou; Chunxia Zhang; Xukai Wang; Ruiqi Liu; Kaiyuan Zheng; Jiansheng Cai; Bo Zhang; Zhe Li; Shiming Xiang; Ying Yan","2026-06-13","cs.AI","https://arxiv.org/abs/2606.15231"
"2606.16821","How Much Can We Trust LLM Search Agents? Measuring Endorsement Vulnerability to Web Content Manipulation","Yimeng Chen; Zhe Ren; Firas Laakom; Yu Li; Dandan Guo; Jürgen Schmidhuber","2026-06-15","cs.CL","https://arxiv.org/abs/2606.16821"
"2606.17029","DEEPRUBRIC: Evidence-Tree Rubric Supervision for Efficient Reinforcement Learning of Deep Research Agents","Minghang Zhu; Chuyang Wei; Junhao Xu; Yilin Cheng; Zhumin Chen; Jiyan He","2026-06-16","cs.CL","https://arxiv.org/abs/2606.17029"
"2606.20122","ScaffoldAgent: Utility-Guided Dynamic Outline Optimization for Open-Ended Deep Research","Zhibang Yang; Xinke Jiang; Yuzhen Xiao; Ruizhe Zhang; Yue Fang; XinFei Wan; Zhengxing Song; Yuxuan Liu; Yuheng Huang; Xu Chu; Junfeng Zhao; Yasha Wang","2026-06-18","cs.AI","https://arxiv.org/abs/2606.20122"
"2606.28566","R$^2$-Searcher: Calibrating Retrieval and Reasoning Boundaries for Agentic Search","Sheng Zhang; Junyi Li; Wenlin Zhang; Xiaowei Qian; Yichao Wang; Yingyi Zhang; Maolin Wang; Yong Liu; Xiangyu Zhao","2026-06-27","cs.IR","https://arxiv.org/abs/2606.28566"
"2606.31367","Evidence Triangulation for Multimodal Fact-Checking in the Wild","Stefanos-Iordanis Papadopoulos; Zacharias Chrysidis; Christos Koutlis; Symeon Papadopoulos; Panagiotis C. Petrantonakis","2026-06-30","cs.MM","https://arxiv.org/abs/2606.31367"
"2607.04718","FORGE: Research-Trajectory Hijacking Attacks on Deep Research Agents","Yue Pan; Ziheng Zhang; Junxiang Lei; Changhao Jia; Qingyi Si; Hongcheng Guo","2026-07-06","cs.AI","https://arxiv.org/abs/2607.04718"
"2607.05943","SearchEyes: Towards Frontier Multimodal Deep Search Intelligence via Search World Simulation","Zhengbo Jiao; Yiming Cheng; Yilei Jiang; Kaituo Feng; Rui Huang; Tianyi Jiang; Juanxi Tian; Jiapeng li; Qunzhong Wang; Tailai Chen; Qianshan Wei; Chuan Xiao; Shanyu Rong; Yangfu Li; Yanhan Zhou; Yunpu Ma; Yifan Zhang; Xiangyu Yue","2026-07-07","cs.AI","https://arxiv.org/abs/2607.05943"
"2607.06223","Information Gain-based Rollout Policy Optimization: An Adaptive Tree-Structured Rollout Approach for Multi-Turn LLM Agents","Yijun Zhang; Fan Xu; Jiaxin Ding; Yule Xie; Shiqing Gao; Xin Ding; Haoxiang Zhang; Luoyi Fu; Xinbing Wang","2026-07-07","cs.AI","https://arxiv.org/abs/2607.06223"
"2607.08700","Do You Need a Frontier Model as a Citation Verifier? Benchmarking Rubric LLMs for Deep-Research Source Attribution","Ethan Leung; Elias Lumer; Corey Feld; Austin Huber; Vamse Kumar Subbiah; Kevin Paul","2026-07-10","cs.CL","https://arxiv.org/abs/2607.08700"
